Ranking,Game,Cover Path,Release Year,Enjoyment Score,Gameplay Score,Music Score,Narrative Score,MetaCritic Score,Rating Deviation,Enjoyment Order,Gameplay Order,Music Order,Narrative Order,MetaCritic Order
1,The Outer Wilds,/static/covers/the_outer_wilds.png,2019,10,10,10,10,8.5,1.5,0,0,0,0,0
2,Subnautica,/static/covers/subnautica.png,2018,10,10,9,9.5,8.7,1.3,1,1,1,1,1
3,Clair Obscur: Expidition 33,/static/covers/clair_obscur_expidition_33.png,2024,10,9,10,9.5,9.2,0.8,2,2,2,2,2
4,Baldur's Gate 3,/static/covers/baldur_s_gate_3.png,2023,9.5,10,9,9,9.6,-0.1,3,3,3,3,3
5,Skyrim,/static/covers/skyrim.png,2011,9.5,9,9,9.5,9.4,0.1,4,4,4,4,4
6,The Witcher 3,/static/covers/the_witcher_3.png,2015,9.5,,10,,9.2,0.3,5,5,5,5,5
7,Kerbal Space Program,/static/covers/kerbal_space_program.png,2015,9.5,10,,,9,0.5,6,6,6,6,6
8,FTL,/static/covers/ftl.png,2012,9,,,,9,0.0,7,7,7,7,7
9,Inscryption,/static/covers/inscryption.png,2021,9,,,,8.5,0.5,8,8,8,8,8
10,Red Dead Redemption 2,/static/covers/red_dead_redemption_2.png,2018,9,,,,9.7,-0.7,9,9,9,9,9
11,Slay the Spire,/static/covers/slay_the_spire.png,2017,9,,,,9.5,-0.5,10,10,10,10,10
12,Legend of Zelda: Tears of the Kingdom,/static/covers/legend_of_zelda_tears_of_the_kingdom.png,2023,9,,,,9.7,-0.7,11,11,11,11,11
13,Legend of Zelda: Breath of the Wild,/static/covers/legend_of_zelda_breath_of_the_wild.png,2017,9,,,,9.7,-0.7,12,12,12,12,12
14,Hades,/static/covers/hades.png,2020,9,,,,9.3,-0.3,13,13,13,13,13
15,Half-Life: Alex,/static/covers/half_life_alex.png,2020,9,,,,9.3,-0.3,14,14,14,14,14
16,Hades 2,/static/covers/hades_2.png,2024,9,,,,9.4,-0.4,15,15,15,15,15
17,Portal 2,/static/covers/portal_2.png,2011,9,,,,9.5,-0.5,16,16,16,16,16
18,Terraria,/static/covers/terraria.png,2011,9,,,,8.1,0.9,17,17,17,17,17
19,Dave the Diver,/static/covers/dave_the_diver.png,2023,9,,,,9,0.0,18,18,18,18,18
20,Super Mario Sunshine,/static/covers/super_mario_sunshine.png,2002,9,,,,9.2,-0.2,19,19,19,19,19
21,Super Mario Galaxy,/static/covers/super_mario_galaxy.png,2007,9,,,,9.7,-0.7,20,20,20,20,20
22,Dredge,/static/covers/dredge.png,2023,9,,,,8,1.0,21,21,21,21,21
23,Harvest Moon: Friends of Mineral Town,/static/covers/harvest_moon_friends_of_mineral_town.png,2003,9,,,,8.2,0.8,22,22,22,22,22
24,GTA V,/static/covers/gta_v.png,2013,9,,,,9.7,-0.7,23,23,23,23,23
25,Pokemon Emerald,/static/covers/pokemon_emerald.png,2004,9,,,,7.6,1.4,24,24,24,24,24
26,Paper Mario: The Thousand Year Door,/static/covers/paper_mario_the_thousand_year_door.png,2004,9,,,,8.8,0.2,25,25,25,25,25
27,Stardew Valley,/static/covers/stardew_valley.png,2016,9,,,,8.9,0.1,26,26,26,26,26
28,For the King,/static/covers/for_the_king.png,2018,9,,,,7.9,1.1,27,27,27,27,27
29,God of War,/static/covers/god_of_war.png,2018,9,,,,9.4,-0.4,28,28,28,28,28
30,Balatro,/static/covers/balatro.png,2024,9,,,,9,0.0,29,29,29,29,29
31,Divinity: Original Sin 2,/static/covers/divinity_original_sin_2.png,2017,9,,,,9.3,-0.3,30,30,30,30,30
32,Split Fiction,/static/covers/split_fiction.png,2024,8.5,,,,9.1,-0.6,31,31,31,31,31
33,Roboquest,/static/covers/roboquest.png,2022,8.5,,,,8.5,0.0,32,32,32,32,32
34,Abiotic Factor,/static/covers/abiotic_factor.png,2024,8.5,,,,8.8,-0.3,33,33,33,33,33
35,Binding of Isaac,/static/covers/binding_of_isaac.png,2011,8.5,,,,8.8,-0.3,34,34,34,34,34
36,Cuphead,/static/covers/cuphead.png,2017,8.5,,,,8.6,-0.1,35,35,35,35,35
37,For the King 2,/static/covers/for_the_king_2.png,2024,8.5,,,,7.8,0.7,36,36,36,36,36
38,Mount and Blade: Bannerlord,/static/covers/mount_and_blade_bannerlord.png,2020,8.5,,,,7.7,0.8,37,37,37,37,37
39,Pavlov,/static/covers/pavlov.png,2017,8.5,,,,-,,38,38,38,38,38
40,Raft,/static/covers/raft.png,2018,8.5,,,,8,0.5,39,39,39,39,39
41,Risk of Rain 2,/static/covers/risk_of_rain_2.png,2020,8.5,,,,8.5,0.0,40,40,40,40,40
42,Spelunky,/static/covers/spelunky.png,2013,8.5,,,,8.7,-0.2,41,41,41,41,41
43,Spelunky 2 ,/static/covers/spelunky_2.png,2020,8.5,,,,8.7,-0.2,42,42,42,42,42
44,Stonehearth,/static/covers/stonehearth.png,2015,8.5,,,,7,1.5,43,43,43,43,43
45,Stray,/static/covers/stray.png,2022,8.5,,,,8.3,0.2,44,44,44,44,44
46,Command and Conquer: Generals,/static/covers/command_and_conquer_generals.png,2003,8.5,,,,8.4,0.1,45,45,45,45,45
47,Satisfactory,/static/covers/satisfactory.png,2020,8.5,,,,9.1,-0.6,46,46,46,46,46
48,The Forest,/static/covers/the_forest.png,2014,8.5,,,,8.3,0.2,47,47,47,47,47
49,Death Stranding 2,/static/covers/death_stranding_2.png,2025,8.5,,,,8.9,-0.4,48,48,48,48,48
50,Far Cry 4,/static/covers/far_cry_4.png,2014,8.5,,,,8.5,0.0,49,49,49,49,49
51,Control,/static/covers/control.png,2019,8.5,,,,8.5,0.0,50,50,50,50,50
52,Kirby Air Ride,/static/covers/kirby_air_ride.png,2003,8.5,,,,6.1,2.4,51,51,51,51,51
53,Pokemon Diamond,/static/covers/pokemon_diamond.png,2006,8.5,,,,8.5,0.0,52,52,52,52,52
54,Mario Kart: Double Dash,/static/covers/mario_kart_double_dash.png,2003,8.5,,,,8.7,-0.2,53,53,53,53,53
55,Mario Party 5,/static/covers/mario_party_5.png,2003,8.5,,,,7,1.5,54,54,54,54,54
56,Bioshock Infinite,/static/covers/bioshock_infinite.png,2013,8.5,,,,9.4,-0.9,55,55,55,55,55
57,Elden Ring,/static/covers/elden_ring.png,2022,8.5,,,,9.6,-1.1,56,56,56,56,56
58,RimWorld,/static/covers/rimworld.png,2013,8.5,,,,9.2,-0.7,57,57,57,57,57
59,No Man's Sky,/static/covers/no_man_s_sky.png,2016,8,,,,8.3,-0.3,58,58,58,58,58
60,Bloons TD 6 ,/static/covers/bloons_td_6.png,2018,8,,,,8,0.0,59,59,59,59,59
61,Borderlands 3,/static/covers/borderlands_3.png,2019,8,,,,8.1,-0.1,60,60,60,60,60
62,Dead Cells,/static/covers/dead_cells.png,2017,8,,,,8.9,-0.9,61,61,61,61,61
63,Fallout 4,/static/covers/fallout_4.png,2015,8,,,,8.7,-0.7,62,62,62,62,62
64,Grounded,/static/covers/grounded.png,2020,8,,,,8.3,-0.3,63,63,63,63,63
65,GTFO,/static/covers/gtfo.png,2019,8,,,,7.8,0.2,64,64,64,64,64
66,Helldivers 2,/static/covers/helldivers_2.png,2024,8,,,,8.2,-0.2,65,65,65,65,65
67,Heroes of Hammerwatch,/static/covers/heroes_of_hammerwatch.png,2018,8,,,,8.5,-0.5,66,66,66,66,66
68,Human Fall Flat,/static/covers/human_fall_flat.png,2016,8,,,,7,1.0,67,67,67,67,67
69,Keep Driving,/static/covers/keep_driving.png,2015,8,,,,8.4,-0.4,68,68,68,68,68
70,Kenshi,/static/covers/kenshi.png,2018,8,,,,7.5,0.5,69,69,69,69,69
71,Little Nightmares 2,/static/covers/little_nightmares_2.png,2021,8,,,,8.2,-0.2,70,70,70,70,70
72,Little Nightmares,/static/covers/little_nightmares.png,2017,8,,,,8,0.0,71,71,71,71,71
73,Outward,/static/covers/outward.png,2019,8,,,,6.9,1.1,72,72,72,72,72
74,Remnant 2,/static/covers/remnant_2.png,2023,8,,,,8,0.0,73,73,73,73,73
75,Rocket League,/static/covers/rocket_league.png,2015,8,,,,8.5,-0.5,74,74,74,74,74
76,RollerCoaster Tycoon 3,/static/covers/rollercoaster_tycoon_3.png,2004,8,,,,8.1,-0.1,75,75,75,75,75
77,Sins of a Solar Empire,/static/covers/sins_of_a_solar_empire.png,2008,8,,,,8.7,-0.7,76,76,76,76,76
78,Slime Rancher,/static/covers/slime_rancher.png,2016,8,,,,8.1,-0.1,77,77,77,77,77
79,Sonic Adventure 2,/static/covers/sonic_adventure_2.png,2001,8,,,,7.3,0.7,78,78,78,78,78
80,Sons of the Forest,/static/covers/sons_of_the_forest.png,2023,8,,,,8.6,-0.6,79,79,79,79,79
81,Space Engineers,/static/covers/space_engineers.png,2013,8,,,,6.9,1.1,80,80,80,80,80
82,Stellaris,/static/covers/stellaris.png,2016,8,,,,7.8,0.2,81,81,81,81,81
83,TerraTech,/static/covers/terratech.png,2015,8,,,,6,2.0,82,82,82,82,82
84,They Are Billions,/static/covers/they_are_billions.png,2018,8,,,,7.2,0.8,83,83,83,83,83
85,Valheim,/static/covers/valheim.png,2021,8,,,,-,,84,84,84,84,84
86,Vampire Survivors,/static/covers/vampire_survivors.png,2022,8,,,,8.6,-0.6,85,85,85,85,85
87,Wasteland 3,/static/covers/wasteland_3.png,2020,8,,,,8.5,-0.5,86,86,86,86,86
88,Celeste,/static/covers/celeste.png,2018,8,,,,9.2,-1.2,87,87,87,87,87
89,Death Stranding,/static/covers/death_stranding.png,2019,8,,,,8.2,-0.2,88,88,88,88,88
90,Blade and Sorcery,/static/covers/blade_and_sorcery.png,2018,8,,,,8.2,-0.2,89,89,89,89,89
91,Cat Quest 3,/static/covers/cat_quest_3.png,2024,8,,,,8,0.0,90,90,90,90,90
92,Cities: Skylines,/static/covers/cities_skylines.png,2015,8,,,,8.5,-0.5,91,91,91,91,91
93,Core Keeper,/static/covers/core_keeper.png,2022,8,,,,8.5,-0.5,92,92,92,92,92
94,Cult of the Lamb,/static/covers/cult_of_the_lamb.png,2022,7.5,,,,8.2,-0.7,93,93,93,93,93
95,Eco,/static/covers/eco.png,2018,7.5,,,,-,,94,94,94,94,94
96,Enshrouded,/static/covers/enshrouded.png,2024,7.5,,,,-,,95,95,95,95,95
97,Far Cry 5,/static/covers/far_cry_5.png,2017,7.5,,,,8.1,-0.6,96,96,96,96,96
98,Fate,/static/covers/fate.png,2005,7.5,,,,8,-0.5,97,97,97,97,97
99,Hearts of Iron IV,/static/covers/hearts_of_iron_iv.png,2016,7.5,,,,8.3,-0.8,98,98,98,98,98
100,House Flipper,/static/covers/house_flipper.png,2018,7.5,,,,6.8,0.7,99,99,99,99,99
101,Hunt: Showdown,/static/covers/hunt_showdown.png,2018,7.5,,,,8,-0.5,100,100,100,100,100
102,Kingdoms and Castles,/static/covers/kingdoms_and_castles.png,2017,7.5,,,,7.1,0.4,101,101,101,101,101
103,Loop Hero,/static/covers/loop_hero.png,2020,7.5,,,,8.2,-0.7,102,102,102,102,102
104,Shadow of Morodor,/static/covers/shadow_of_morodor.png,2014,7.5,,,,8.4,-0.9,103,103,103,103,103
105,Nubby's Number Factory,/static/covers/nubby_s_number_factory.png,2024,7.5,,,,8.5,-1.0,104,104,104,104,104
106,Pacific Drive,/static/covers/pacific_drive.png,2024,7.5,,,,7.9,-0.4,105,105,105,105,105
107,Palworld,/static/covers/palworld.png,2024,7.5,,,,-,,106,106,106,106,106
108,Planet Crafter,/static/covers/planet_crafter.png,2022,7.5,,,,8.1,-0.6,107,107,107,107,107
109,Project Zomboid,/static/covers/project_zomboid.png,2013,7.5,,,,7.6,-0.1,108,108,108,108,108
110,Ready or Not,/static/covers/ready_or_not.png,2021,7.5,,,,8,-0.5,109,109,109,109,109
111,REPO,/static/covers/repo.png,2006,7.5,,,,-,,110,110,110,110,110
112,Rise of the Tomb Raider,/static/covers/rise_of_the_tomb_raider.png,2015,7.5,,,,8.6,-1.1,111,111,111,111,111
113,Ryse: Son of Rome ,/static/covers/ryse_son_of_rome.png,2013,7.5,,,,6,1.5,112,112,112,112,112
114,Schedule I,/static/covers/schedule_i.png,2020,7.5,,,,-,,113,113,113,113,113
115,Sims 3,/static/covers/sims_3.png,2009,7.5,,,,8.6,-1.1,114,114,114,114,114
116,Skul: The Hero Slayer,/static/covers/skul_the_hero_slayer.png,2020,7.5,,,,8,-0.5,115,115,115,115,115
117,Sun Haven,/static/covers/sun_haven.png,2021,7.5,,,,-,,116,116,116,116,116
118,Super Animal Royale,/static/covers/super_animal_royale.png,2018,7.5,,,,7.3,0.2,117,117,117,117,117
119,Ghost Recon: Wildlands,/static/covers/ghost_recon_wildlands.png,2017,7.5,,,,7,0.5,118,118,118,118,118
120,TABS,/static/covers/tabs.png,2019,7.5,,,,7.7,-0.2,119,119,119,119,119
121,TABG,/static/covers/tabg.png,2018,7.5,,,,6.1,1.4,120,120,120,120,120
122,Watch_Dogs 2,/static/covers/watch_dogs_2.png,2016,7.5,,,,,,121,121,121,121,121
123,Windblown,/static/covers/windblown.png,2024,7.5,,,,,,122,122,122,122,122
124,Barony,/static/covers/barony.png,2015,7.5,,,,,,123,123,123,123,123
125,Ark Survival,/static/covers/ark_survival.png,2015,7,,,,,,124,124,124,124,124
126,Banished,/static/covers/banished.png,2014,7,,,,,,125,125,125,125,125
127,Content Warning,/static/covers/content_warning.png,2024,7,,,,,,126,126,126,126,126
128,Deep Rock Galactic,/static/covers/deep_rock_galactic.png,2020,7,,,,,,127,127,127,127,127
129,Dirt Rally,/static/covers/dirt_rally.png,2015,7,,,,,,128,128,128,128,128
130,Farming Sim,/static/covers/farming_sim.png,2008,7,,,,,,129,129,129,129,129
131,GORN,/static/covers/gorn.png,2019,7,,,,,,130,130,130,130,130
132,Grim Dawn,/static/covers/grim_dawn.png,2016,7,,,,,,131,131,131,131,131
133,Lethal Company,/static/covers/lethal_company.png,2023,7,,,,,,132,132,132,132,132
134,Marauders,/static/covers/marauders.png,2022,7,,,,,,133,133,133,133,133
135,Necesse,/static/covers/necesse.png,2014,7,,,,,,134,134,134,134,134
136,Osiris: New Dawn,/static/covers/osiris_new_dawn.png,2016,7,,,,,,135,135,135,135,135
137,PlateUp!,/static/covers/plateup.png,2022,7,,,,,,136,136,136,136,136
138,Potion Craft,/static/covers/potion_craft.png,2021,7,,,,,,137,137,137,137,137
139,SCUM,/static/covers/scum.png,2018,7,,,,,,138,138,138,138,138
140,Sniper Elite 4,/static/covers/sniper_elite_4.png,2017,7,,,,,,139,139,139,139,139
141,Tropico 5,/static/covers/tropico_5.png,2014,7,,,,,,140,140,140,140,140
142,Wobbly Life,/static/covers/wobbly_life.png,2020,7,,,,,,141,141,141,141,141
143,Word Play,/static/covers/word_play.png,2023,7,,,,,,142,142,142,142,142
144,Diceomancer,/static/covers/diceomancer.png,2023,6.5,,,,,,143,143,143,143,143
145,Dinkum,/static/covers/dinkum.png,2022,6.5,,,,,,144,144,144,144,144
146,Goat Simulator,/static/covers/goat_simulator.png,2014,6.5,,,,,,145,145,145,145,145
147,Golf with your friends,/static/covers/golf_with_your_friends.png,2016,6.5,,,,,,146,146,146,146,146
148,New World,/static/covers/new_world.png,2021,6.5,,,,,,147,147,147,147,147
149,Starbound,/static/covers/starbound.png,2016,6.5,,,,,,148,148,148,148,148
150,Hand Simulator,/static/covers/hand_simulator.png,2017,6,,,,,,149,149,149,149,149
151,Monster Hunter Rise,/static/covers/monster_hunter_rise.png,2021,6,,,,,,150,150,150,150,150
152,NBA 2K19,/static/covers/nba_2k19.png,2018,6,,,,,,151,151,151,151,151
153,Far Cry 6,/static/covers/far_cry_6.png,2021,6,,,,,,152,152,152,152,152
154,Starfield,/static/covers/starfield.png,2023,5.5,,,,,,153,153,153,153,153
